# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: Washington M
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            545.6         0.777         0.658              0.697         0.677
            546.0         0.774         0.656              0.695         0.675
            546.4         0.771         0.653              0.693         0.673
            546.8         0.768         0.651              0.691         0.671
            547.2         0.764         0.647              0.687         0.667
            547.6         0.761         0.645              0.686         0.665
            548.0         0.758         0.642              0.684         0.663
            548.4         0.754         0.638              0.680         0.659
            548.8         0.752         0.637              0.679         0.658
            549.2         0.748         0.633              0.676         0.655
            549.6         0.745         0.631              0.674         0.652
            550.0         0.741         0.627              0.671         0.649
            550.4         0.738         0.624              0.668         0.646
            550.8         0.735         0.622              0.666         0.644
            551.2         0.732         0.619              0.663         0.641
            551.6         0.727         0.615              0.659         0.637
            552.0         0.723         0.612              0.656         0.634
            552.4         0.720         0.609              0.653         0.631
            552.8         0.716         0.606              0.650         0.628
            553.2         0.712         0.602              0.646         0.624
            553.6         0.708         0.599              0.643         0.621
            554.0         0.704         0.595              0.639         0.617
            554.4         0.700         0.592              0.636         0.614
            554.8         0.696         0.589              0.633         0.611
            555.2         0.692         0.585              0.628         0.606
            555.6         0.688         0.581              0.625         0.603
            556.0         0.684         0.578              0.622         0.600
            556.4         0.680         0.574              0.618         0.596
            556.8         0.676         0.571              0.615         0.593
            557.2         0.672         0.568              0.611         0.590
            557.6         0.667         0.564              0.607         0.586
            558.0         0.663         0.560              0.604         0.582
            558.4         0.659         0.557              0.600         0.578
            558.8         0.655         0.553              0.597         0.575
            559.2         0.651         0.549              0.593         0.571
            559.6         0.645         0.545              0.588         0.566
            560.0         0.641         0.541              0.584         0.563
            560.4         0.637         0.537              0.580         0.559
            560.8         0.632         0.533              0.576         0.555
            561.2         0.628         0.530              0.573         0.551
            561.6         0.623         0.526              0.568         0.547
            562.0         0.619         0.522              0.565         0.543
            562.4         0.614         0.518              0.560         0.539
            562.8         0.609         0.514              0.556         0.535
            563.2         0.605         0.510              0.552         0.531
            563.6         0.600         0.506              0.547         0.527
            564.0         0.594         0.501              0.543         0.522
            564.4         0.590         0.498              0.539         0.518
            564.8         0.585         0.493              0.535         0.514
            565.2         0.580         0.489              0.530         0.509
            565.6         0.575         0.485              0.526         0.505
            566.0         0.570         0.481              0.522         0.501
            566.4         0.565         0.476              0.517         0.497
            566.8         0.559         0.472              0.512         0.492
            567.2         0.555         0.468              0.508         0.488
            567.6         0.550         0.464              0.503         0.483
            568.0         0.545         0.460              0.499         0.479
            568.4         0.540         0.455              0.494         0.475
            568.8         0.535         0.451              0.490         0.471
            569.2         0.530         0.447              0.485         0.466
            569.6         0.525         0.443              0.481         0.462
            570.0         0.519         0.438              0.476         0.457
            570.4         0.515         0.434              0.472         0.453
            570.8         0.509         0.429              0.467         0.448
            571.2         0.504         0.425              0.463         0.444
            571.6         0.499         0.421              0.458         0.439
            572.0         0.494         0.416              0.453         0.435
            572.4         0.488         0.412              0.448         0.430
            572.8         0.483         0.407              0.444         0.426
            573.2         0.478         0.403              0.439         0.421
            573.6         0.473         0.398              0.434         0.416
            574.0         0.467         0.394              0.430         0.412
            574.4         0.462         0.389              0.425         0.407
            574.8         0.457         0.385              0.420         0.402
            575.2         0.452         0.380              0.415         0.398
            575.6         0.446         0.375              0.410         0.393
            576.0         0.441         0.371              0.406         0.388
            576.4         0.435         0.366              0.400         0.383
            576.8         0.430         0.362              0.396         0.379
            577.2         0.425         0.357              0.391         0.374
            577.6         0.420         0.353              0.386         0.370
            578.0         0.414         0.348              0.381         0.365
            578.4         0.409         0.343              0.377         0.360
            578.8         0.404         0.339              0.372         0.356
            579.2         0.399         0.335              0.368         0.351
            579.6         0.393         0.330              0.362         0.346
            580.0         0.388         0.326              0.358         0.342
            580.4         0.383         0.322              0.353         0.338
            580.8         0.378         0.317              0.349         0.333
            581.2         0.373         0.313              0.344         0.328
            581.6         0.368         0.309              0.339         0.324
            582.0         0.363         0.304              0.335         0.320
            582.4         0.357         0.300              0.330         0.315
            582.8         0.352         0.295              0.325         0.310
            583.2         0.347         0.291              0.320         0.306
            583.6         0.342         0.287              0.316         0.301
            584.0         0.337         0.283              0.312         0.297
            584.4         0.332         0.278              0.307         0.293
            584.8         0.327         0.274              0.302         0.288
            585.2         0.322         0.270              0.298         0.284
            585.6         0.317         0.265              0.293         0.279
            586.0         0.312         0.262              0.289         0.275
            586.4         0.307         0.257              0.284         0.270
            586.8         0.302         0.253              0.280         0.266
            587.2         0.297         0.249              0.275         0.262
            587.6         0.292         0.245              0.271         0.258
            588.0         0.287         0.241              0.266         0.253
            588.4         0.282         0.236              0.262         0.249
            588.8         0.278         0.232              0.257         0.245
            589.2         0.273         0.228              0.253         0.241
            589.6         0.269         0.225              0.249         0.237
            590.0         0.264         0.221              0.245         0.233
            590.4         0.259         0.217              0.241         0.229
            590.8         0.255         0.213              0.236         0.225
            591.2         0.250         0.209              0.232         0.221
            591.6         0.246         0.205              0.228         0.217
            592.0         0.241         0.202              0.224         0.213
            592.4         0.237         0.198              0.220         0.209
            592.8         0.233         0.194              0.216         0.205
            593.2         0.229         0.191              0.212         0.202
            593.6         0.224         0.187              0.208         0.198
            594.0         0.220         0.184              0.205         0.194
            594.4         0.216         0.180              0.201         0.190
            594.8         0.211         0.176              0.197         0.187
            595.2         0.207         0.173              0.193         0.183
            595.6         0.203         0.170              0.189         0.179
            596.0         0.199         0.166              0.185         0.176
            596.4         0.195         0.162              0.181         0.172
            596.8         0.191         0.159              0.178         0.169
            597.2         0.187         0.156              0.174         0.165
            597.6         0.183         0.153              0.171         0.162
            598.0         0.179         0.149              0.167         0.158
            598.4         0.176         0.146              0.164         0.155
            598.8         0.172         0.143              0.160         0.152
            599.2         0.168         0.140              0.157         0.148
            599.6         0.165         0.137              0.153         0.145
            600.0         0.161         0.134              0.150         0.142
            600.4         0.157         0.131              0.147         0.139
            600.8         0.154         0.128              0.143         0.136
            601.2         0.151         0.125              0.140         0.133
            601.6         0.147         0.122              0.137         0.130
            602.0         0.144         0.119              0.134         0.127
            602.4         0.141         0.117              0.131         0.124
            602.8         0.137         0.114              0.128         0.121
            603.2         0.134         0.111              0.125         0.118
            603.6         0.131         0.109              0.122         0.115
            604.0         0.128         0.106              0.119         0.113
            604.4         0.125         0.104              0.116         0.110
            604.8         0.122         0.101              0.114         0.107
            605.2         0.119         0.099              0.111         0.105
            605.6         0.116         0.096              0.108         0.102
            606.0         0.113         0.094              0.105         0.100
            606.4         0.110         0.092              0.103         0.097
            606.8         0.108         0.089              0.100         0.095
            607.2         0.105         0.087              0.098         0.092
            607.6         0.102         0.085              0.095         0.090
            608.0         0.100         0.082              0.093         0.088
            608.4         0.097         0.080              0.090         0.085
            608.8         0.095         0.078              0.088         0.083
            609.2         0.092         0.076              0.086         0.081
            609.6         0.090         0.074              0.083         0.079
            610.0         0.087         0.072              0.081         0.077
            610.4         0.085         0.070              0.079         0.074
            610.8         0.082         0.068              0.077         0.072
            611.2         0.080         0.066              0.075         0.071
            611.6         0.078         0.064              0.073         0.069
            612.0         0.076         0.063              0.071         0.067
            612.4         0.074         0.061              0.069         0.065
            612.8         0.072         0.059              0.067         0.063
            613.2         0.070         0.058              0.065         0.061
            613.6         0.068         0.056              0.063         0.059
            614.0         0.066         0.054              0.061         0.058
            614.4         0.064         0.053              0.060         0.056
            614.8         0.062         0.051              0.058         0.055
            615.2         0.060         0.050              0.056         0.053
            615.6         0.059         0.048              0.054         0.051
            616.0         0.057         0.047              0.053         0.050
            616.4         0.055         0.045              0.051         0.048
            616.8         0.053         0.044              0.050         0.047
            617.2         0.052         0.043              0.048         0.045
            617.6         0.050         0.041              0.047         0.044
            618.0         0.049         0.040              0.045         0.043
            618.4         0.047         0.039              0.044         0.041
            618.8         0.046         0.038              0.043         0.040
            619.2         0.044         0.036              0.041         0.039
            619.6         0.043         0.035              0.040         0.038
            620.0         0.042         0.034              0.039         0.036
            620.4         0.040         0.033              0.037         0.035
            620.8         0.039         0.032              0.036         0.034
            621.2         0.038         0.031              0.035         0.033
            621.6         0.036         0.030              0.034         0.032
            622.0         0.035         0.029              0.033         0.031
            622.4         0.034         0.028              0.032         0.030
            622.8         0.033         0.027              0.031         0.029
            623.2         0.032         0.026              0.030         0.028
            623.6         0.031         0.025              0.029         0.027
            624.0         0.030         0.024              0.028         0.026
            624.4         0.029         0.023              0.027         0.025
            624.8         0.028         0.023              0.026         0.024
            625.2         0.027         0.022              0.025         0.023
            625.6         0.026         0.021              0.024         0.023
            626.0         0.025         0.020              0.023         0.022
            626.4         0.024         0.020              0.022         0.021
            626.8         0.023         0.019              0.022         0.020
            627.2         0.023         0.018              0.021         0.020
            627.6         0.022         0.018              0.020         0.019
            628.0         0.021         0.017              0.019         0.018
            628.4         0.020         0.016              0.019         0.018
            628.8         0.019         0.016              0.018         0.017
